,Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Industry PE,Debt,Price to book value,Cash from operations last year,Debt to equity,Return on equity,Piotroski score,Credit rating,Industry PBV,Equity capital,Total Assets,is in nse
1,Astec Lifescienc,533138.0,ASTEC,Pesticides / Agrochemicals - Indian,1058.65,28.68,2072.66,0.14,7.06,-41.94,116.01,-7.07,20.49,22.08,99.82,7.46,168.44,0.36,21.22,6.0,,2.94,19.58,619.34,True
2,Bayer Crop Sci.,506285.0,BAYERCROP,Pesticides / Agrochemicals - Multinational,5079.5,46.37,22828.34,1.77,-45.1,-133.27,918.2,7.52,29.95,39.54,0.0,9.02,665.9,0.0,23.77,8.0,,6.79,44.9,4251.0,True
4,Bharat Rasayan,590021.0,BHARATRAS,Pesticides / Agrochemicals - Indian,10451.65,28.8,4441.95,0.01,35.23,37.67,222.04,-0.87,34.23,22.08,34.98,6.88,262.58,0.05,32.91,6.0,,2.94,4.25,817.79,True
6,Dhanuka Agritech,507717.0,DHANUKA,Pesticides / Agrochemicals - Indian,729.25,16.91,3396.72,1.65,40.04,44.71,295.67,8.91,26.28,22.08,4.95,4.1,162.08,0.01,20.84,8.0,,2.94,9.32,1215.98,True
7,Insecticid.India,532851.0,INSECTICID,Pesticides / Agrochemicals - Indian,458.2,13.07,947.0,0.87,6.15,-30.9,299.17,13.81,14.35,22.08,62.16,1.19,241.85,0.08,12.51,6.0,,2.94,20.67,1284.16,True
9,Meghmani Organ.,532865.0,MEGH,Pesticides / Agrochemicals - Indian,82.75,8.88,2104.45,1.21,69.34,37.23,657.67,25.94,21.68,22.08,663.03,1.58,404.28,0.5,21.79,5.0,,2.94,25.43,2950.6,True
10,NACL Industries,524709.0,NACLIND,Pesticides / Agrochemicals - Indian,41.25,21.09,809.4,0.24,9.2,144.03,264.75,10.92,9.71,22.08,197.57,2.1,103.04,0.51,5.45,6.0,,2.94,19.62,1003.69,True
11,P I Industries,523642.0,PIIND,Pesticides / Agrochemicals - Indian,2275.2,51.58,34517.84,0.18,195.4,61.35,1162.1,36.75,23.05,22.08,416.0,6.88,698.1,0.08,18.55,4.0,,2.94,15.2,7023.9,True
14,Rallis India,500355.0,RALLIS,Pesticides / Agrochemicals - Indian,258.0,24.54,5017.3,0.97,45.64,7.87,570.47,6.91,16.31,22.08,49.69,3.26,336.84,0.03,12.92,7.0,,2.94,19.45,2661.03,True
15,Sharda Cropchem,538666.0,SHARDACROP,Pesticides / Agrochemicals - Indian,331.1,12.61,2987.2,1.21,48.31,724.4,493.81,29.12,18.46,22.08,29.25,2.07,146.3,0.02,14.97,5.0,,2.94,90.22,2110.77,True
18,Sumitomo Chemi.,542920.0,SUMICHEM,Pesticides / Agrochemicals - Indian,299.3,47.46,14939.43,0.18,54.38,14410.53,560.12,6.75,29.27,22.08,37.65,10.55,221.63,0.03,22.41,5.0,,2.94,499.15,2633.96,True
20,UPL,512070.0,UPL,Pesticides / Agrochemicals - Indian,589.45,17.27,45036.66,1.02,794.0,-1.74,9126.0,2.63,10.85,22.08,32364.0,2.37,8739.0,1.7,13.8,6.0,,2.94,153.0,73974.0,True
0,Global Vectra,532773.0,GLOBALVECT,Transport - Airlines,46.1,,64.54,0.0,-0.83,-151.88,78.91,-31.05,7.65,2.57,336.05,1.11,76.45,5.76,2.64,6.0,,12.92,14.0,720.01,True
1,Interglobe Aviat,539448.0,INDIGO,Transport - Airlines,1691.4,,65095.81,0.0,-626.58,-227.76,4909.98,-50.56,5.16,2.57,25386.23,35.67,6943.3,13.91,-13.99,3.0,,12.92,384.86,40219.53,True
2,Jet Airways,532617.0,JETAIRWAYS,Transport - Airlines,123.05,,1397.85,0.0,-2327.52,-56.3,4737.82,-20.03,,2.57,8658.51,,-2619.71,,,1.0,,12.92,113.6,6971.64,True
5,SpiceJet,500285.0,SPICEJET,Transport - Airlines,83.85,,5038.86,0.0,-56.96,-177.79,1686.62,-53.75,-268.75,2.57,9104.68,,1841.79,,,4.0,,12.92,600.46,12094.06,True
0,Assoc.Alcohols,507526.0,ASALCBR,Breweries & Distilleries,356.5,12.02,644.52,0.28,24.94,57.65,152.96,8.2,34.86,11.79,5.7,3.05,58.41,0.03,29.15,9.0,,1.49,18.08,283.29,True
3,G M Breweries,507488.0,GMBREW,Breweries & Distilleries,425.8,14.82,778.26,0.7,21.11,51.0,112.06,-6.41,23.39,11.79,0.0,1.78,78.79,0.0,17.47,6.0,,1.49,18.29,485.77,True
4,Globus Spirits,533104.0,GLOBUSSPR,Breweries & Distilleries,337.9,8.88,973.13,0.3,38.23,214.91,316.39,-3.62,14.4,11.79,136.89,1.95,135.44,0.27,11.81,8.0,,1.49,28.8,892.54,True
5,IFB Agro Inds.,507438.0,IFBAGRO,Breweries & Distilleries,425.95,12.46,399.12,0.0,17.08,176.82,200.47,-20.28,5.1,11.79,0.67,0.98,0.66,0.0,6.19,5.0,,1.49,9.37,468.3,True
7,Jubilant Inds.,533320.0,JUBLINDS,Breweries & Distilleries,209.8,19.55,315.35,0.0,7.36,90.67,157.61,22.84,14.74,11.79,124.13,3.01,47.27,1.18,22.71,6.0,,1.49,15.03,444.74,True
12,Pioneer Distil.,531879.0,PIONDIST,Breweries & Distilleries,109.0,,145.95,0.0,-27.95,-118.7,32.08,-35.71,-17.55,11.79,426.94,,29.28,,,5.0,,1.49,13.39,409.04,True
13,Radico Khaitan,532497.0,RADICO,Breweries & Distilleries,614.1,33.96,8202.43,0.33,80.53,29.64,684.21,5.6,18.4,11.79,310.02,5.1,59.69,0.19,17.3,5.0,,1.49,26.71,2498.96,True
14,Ravikumar Distll,533294.0,RKDL,Breweries & Distilleries,7.7,,18.48,0.0,-1.01,-520.83,0.0,-100.0,0.89,11.79,31.53,0.3,-0.5,0.52,0.88,6.0,,1.49,24.0,140.81,True
16,Som Distilleries,507514.0,SDBL,Breweries & Distilleries,34.4,,223.56,0.0,-11.01,-479.66,78.14,-18.75,7.09,11.79,187.72,0.77,41.15,0.65,4.75,4.0,,1.49,32.49,719.09,True
17,Tilaknagar Inds.,507205.0,TI,Breweries & Distilleries,27.95,,350.59,0.0,-3.89,89.62,167.62,2.24,-8.17,11.79,516.78,,190.79,,,5.0,,1.49,125.28,1014.98,True
18,United Breweries,532478.0,UBL,Breweries & Distilleries,1208.3,1895.77,31947.45,0.21,126.78,-19.41,1291.1,-11.25,16.74,11.79,209.95,9.53,507.79,0.06,12.76,6.0,,1.49,26.44,5185.96,True
19,United Spirits,532432.0,MCDOWELL-N,Breweries & Distilleries,552.05,148.53,40114.09,0.0,287.0,15.39,2673.0,3.3,20.82,11.79,1004.4,11.1,783.2,0.28,17.37,7.0,,1.49,145.3,8968.4,True
0,Alicon Cast.,531147.0,ALICON,Auto Ancillaries,462.9,,643.9,0.27,11.45,35.66,268.43,18.32,10.02,36.12,332.5,2.31,57.08,1.19,5.47,4.0,,2.27,6.96,847.99,True
1,Amara Raja Batt.,500008.0,AMARAJABAT,Auto Ancillaries,908.25,26.12,15514.05,1.21,193.19,17.51,1960.12,12.15,23.48,36.12,70.98,3.95,1176.91,0.02,18.55,7.0,,2.27,17.08,5462.98,True
6,Autoline Industr,532797.0,AUTOIND,Auto Ancillaries,33.4,,103.42,0.0,-10.66,36.47,92.6,13.73,-11.47,36.12,124.23,4.98,22.66,5.98,-87.29,3.0,,2.27,30.96,419.81,True
7,Autolite (I),500029.0,AUTOLITIND,Auto Ancillaries,27.75,,31.03,0.0,-3.23,-2836.36,19.42,-50.21,-2.42,36.12,39.38,0.9,5.57,1.14,-18.97,3.0,,2.27,11.19,117.19,True
8,Automotive Axles,505010.0,AUTOAXLES,Auto Ancillaries,1210.7,321.51,1829.37,0.56,13.19,191.17,271.97,65.12,10.69,36.12,28.21,3.56,197.8,0.05,7.84,6.0,,2.27,15.11,734.38,True
9,Automotive Stamp,520119.0,ASAL,Auto Ancillaries,38.1,,60.43,0.0,-3.91,54.11,111.89,30.93,-21.55,36.12,197.85,,8.08,,,3.0,,2.27,15.86,212.57,True
10,Banco Products,500039.0,BANCOINDIA,Auto Ancillaries,156.45,9.93,1118.91,12.78,36.81,176.35,375.5,18.09,13.13,36.12,93.01,1.45,52.12,0.12,9.48,5.0,,2.27,14.3,1136.71,True
12,Bharat Gears,505688.0,BHARATGEAR,Auto Ancillaries,78.25,,72.82,0.0,4.74,159.25,151.5,44.4,-1.32,36.12,127.54,1.14,53.56,1.99,-22.34,3.0,,2.27,9.31,379.97,True
14,Bosch,500530.0,BOSCHLTD,Auto Ancillaries,15449.9,78.32,45567.38,0.68,185.75,-21.7,3029.64,19.44,18.46,36.12,63.11,5.16,1336.1,0.01,12.0,5.0,,2.27,29.49,13081.24,True
19,Endurance Tech.,540153.0,ENDURANCE,Auto Ancillaries,1406.8,44.18,19788.45,0.39,190.05,60.28,2040.86,24.4,21.2,36.12,581.73,6.19,1011.4,0.18,19.85,7.0,,2.27,140.66,5569.28,True
21,Exide Inds.,500086.0,EXIDEIND,Auto Ancillaries,208.75,24.09,17743.75,1.96,241.45,81.81,4196.53,18.09,17.02,36.12,500.81,2.6,1619.19,0.07,12.52,6.0,,2.27,85.0,26545.33,True
22,Federal-Mogul Go,505744.0,FMGOETZE,Auto Ancillaries,307.2,200.35,1708.95,0.0,34.82,329.35,356.78,27.79,6.41,36.12,0.59,2.17,191.44,0.0,4.14,5.0,,2.27,55.63,1175.64,True
23,Fiem Industries,532768.0,FIEMIND,Auto Ancillaries,550.8,16.38,724.84,2.36,19.85,-18.88,358.39,10.3,16.18,36.12,60.9,1.39,207.33,0.12,14.98,7.0,,2.27,13.16,958.87,True
25,Gabriel India,505714.0,GABRIEL,Auto Ancillaries,119.5,29.6,1716.55,1.09,24.59,40.03,536.49,17.78,16.4,36.12,9.67,2.66,120.13,0.01,13.56,6.0,,2.27,14.36,1072.12,True
28,GNA Axles,540124.0,GNA,Auto Ancillaries,389.95,17.57,837.04,0.0,26.64,249.15,276.03,28.9,13.76,36.12,130.49,1.81,118.76,0.28,12.43,5.0,,2.27,21.47,820.42,True
29,Harita Seating,590043.0,HARITASEAT,Auto Ancillaries,765.1,82.11,594.48,0.0,10.28,208.71,224.54,26.3,14.38,36.12,25.44,3.27,34.92,0.14,7.46,6.0,,2.27,7.77,500.97,True
31,Hind.Composites,509635.0,HINDCOMPOS,Auto Ancillaries,301.1,24.35,444.69,0.66,5.18,52.8,51.27,17.16,1.34,36.12,1.28,0.56,4.12,0.0,1.55,5.0,,2.27,7.38,878.97,True
33,Igarashi Motors,517380.0,IGARASHI,Auto Ancillaries,319.4,59.8,1005.31,0.38,13.35,-1.4,168.44,14.88,8.67,36.12,81.86,2.38,90.6,0.19,7.02,4.0,,2.27,31.48,651.08,True
34,India Motor Part,590065.0,IMPAL,Auto Ancillaries,692.3,19.03,863.99,1.44,15.26,48.44,162.98,17.07,4.59,36.12,0.0,0.87,2.1,0.0,3.79,7.0,,2.27,12.48,1130.72,True
35,India Nipp.Elec.,532240.0,INDNIPPON,Auto Ancillaries,403.4,24.16,912.55,1.67,17.76,111.43,152.61,31.16,14.58,36.12,4.85,2.12,51.69,0.01,11.1,6.0,,2.27,11.31,550.15,True
39,Jamna Auto Inds.,520051.0,JAMNAAUTO,Auto Ancillaries,68.9,75.22,2745.42,0.58,30.06,198.51,343.26,50.16,15.39,36.12,45.16,5.36,4.1,0.09,9.47,4.0,,2.27,39.83,782.52,True
40,Jay Bharat Maru.,520066.0,JAYBARMARU,Auto Ancillaries,242.6,32.48,525.47,0.52,17.66,163.19,496.03,23.16,9.52,36.12,356.03,1.28,154.05,0.86,6.71,4.0,,2.27,10.83,1220.45,True
42,JBM Auto,532605.0,JBMA,Auto Ancillaries,426.45,62.64,2017.06,0.41,21.96,33.5,590.73,26.48,12.44,36.12,626.55,2.89,369.81,0.9,10.22,5.0,,2.27,23.65,2131.58,True
43,JMT Auto,513691.0,JMTAUTOLTD,Auto Ancillaries,2.75,,138.55,0.0,-14.23,-0.64,32.37,-8.01,-10.17,36.12,137.08,1.37,42.15,1.36,-30.97,3.0,,2.27,50.38,293.29,True
44,JTEKT India,520057.0,JTEKTINDIA,Auto Ancillaries,89.0,,2175.88,0.39,16.61,208.16,431.87,18.8,7.29,36.12,48.35,3.9,124.37,0.09,5.1,6.0,,2.27,24.45,867.14,True
45,Jullundur Motor,532420.0,JMA,Auto Ancillaries,34.45,4.55,78.69,2.9,8.15,84.39,117.26,19.42,11.64,36.12,0.0,0.45,7.67,0.0,8.53,4.0,,2.27,5.96,244.34,True
47,L G Balakrishnan,500250.0,LGBBROSLTD,Auto Ancillaries,317.5,12.37,996.71,1.57,53.72,123.53,498.28,22.51,12.93,36.12,97.52,1.36,203.43,0.13,11.21,5.0,,2.27,31.39,1204.02,True
48,Lumax Auto Tech.,532796.0,LUMAXTECH,Auto Ancillaries,147.65,31.27,1006.35,2.03,23.08,98.79,365.2,27.25,14.98,36.12,54.36,2.16,76.22,0.12,12.36,5.0,,2.27,13.63,871.78,True
49,Lumax Industries,517206.0,LUMAXIND,Auto Ancillaries,1636.15,90.15,1529.8,1.44,13.66,-16.09,446.24,16.44,16.82,36.12,347.22,3.98,103.25,0.9,19.13,6.0,,2.27,9.35,1198.24,True
50,Magal Automotive,530919.0,REMSONSIND,Auto Ancillaries,145.3,32.79,82.97,1.03,2.77,35.12,67.01,43.61,19.05,36.12,28.14,3.5,5.19,1.19,22.72,7.0,,2.27,5.71,96.83,True
52,Menon Bearings,523828.0,MENONBE,Bearings,63.15,22.61,353.89,2.38,5.7,80.38,43.39,37.14,18.38,33.19,31.71,3.73,30.49,0.33,16.1,5.0,,1.65,5.6,153.19,True
54,Minda Corp,538962.0,MINDACORP,Auto Ancillaries,108.1,77.33,2584.45,0.32,49.48,18.97,739.8,36.1,11.2,36.12,394.77,2.72,450.4,0.42,-0.39,5.0,,2.27,47.7,2018.24,True
55,Minda Industries,532539.0,MINDAIND,Auto Ancillaries,562.7,192.04,15301.43,0.07,108.4,127.24,1801.62,35.78,11.85,36.12,1076.46,7.56,965.11,0.53,9.01,4.0,,2.27,52.44,4929.46,True
56,Motherson Sumi,517334.0,MOTHERSUMI,Auto Ancillaries,232.6,136.05,73453.55,0.64,798.38,195.61,17092.44,13.95,11.55,36.12,14132.28,6.71,6352.0,1.29,10.51,4.0,,2.27,315.79,46867.75,True
57,Munjal Auto Inds,520059.0,MUNJALAU,Auto Ancillaries,61.75,110.86,617.5,0.0,10.27,1480.0,591.52,139.7,4.26,36.12,88.95,2.12,34.57,0.3,1.66,4.0,,2.27,20.0,914.24,True
58,Munjal Showa,520043.0,MUNJALSHOW,Auto Ancillaries,156.2,20.35,624.72,2.88,17.27,248.19,348.38,16.89,6.07,36.12,0.0,1.01,65.67,0.0,4.36,5.0,,2.27,8.0,810.66,True
59,NDR Auto Compon.,543214.0,NDRAUTO,Auto Ancillaries,233.3,,138.73,0.0,5.08,7357.14,30.59,99.67,,36.12,0.38,0.82,3.28,0.0,,3.0,,2.27,5.95,189.2,True
60,NRB Bearings,530367.0,NRBBEARING,Bearings,117.5,48.22,1138.84,0.68,22.53,117.05,244.69,33.65,8.82,33.19,259.73,2.49,102.08,0.57,6.89,5.0,,1.65,19.38,906.92,True
61,Omax Autos,520021.0,OMAXAUTO,Auto Ancillaries,46.65,,99.78,0.0,-13.56,-442.4,29.04,-70.81,4.83,36.12,218.93,0.39,15.1,0.86,0.93,7.0,,2.27,21.39,613.88,True
62,PAE,517230.0,PAEL,Auto Ancillaries,3.75,,3.91,0.0,-0.4,8.89,0.01,,,36.12,25.44,,-1.4,,,3.0,,2.27,10.42,4.15,True
63,PPAP Automotive,532934.0,PPAP,Auto Ancillaries,228.4,162.31,319.76,1.31,7.03,99.72,107.07,35.29,8.17,36.12,39.86,1.09,36.19,0.14,6.51,6.0,,2.27,14.0,416.11,True
64,Precision Camshf,539636.0,PRECAM,Auto Ancillaries,43.55,10.83,413.66,2.18,11.17,1.44,209.29,10.8,5.76,36.12,151.81,0.64,58.16,0.23,5.79,7.0,,2.27,94.99,985.84,True
65,Pricol Ltd,540293.0,PRICOLLTD,Auto Ancillaries,70.85,14.06,863.53,0.0,21.43,162.55,462.25,56.8,-7.23,36.12,322.4,2.04,151.19,0.76,-22.14,5.0,,2.27,12.19,1246.72,True
68,Rane (Madras),532661.0,RML,Auto Ancillaries,352.55,,483.53,0.0,5.49,176.57,427.23,35.11,-0.67,36.12,380.17,3.82,69.16,3.0,-21.58,2.0,,2.27,12.55,944.25,True
69,Rane Brake Lin.,532987.0,RBL,Auto Ancillaries,832.8,24.53,658.74,2.04,12.89,25.88,132.54,4.71,20.42,36.12,0.0,2.93,73.39,0.0,15.69,6.0,,2.27,7.81,336.59,True
70,Rane Engine Val.,532988.0,RANEENGINE,Auto Ancillaries,276.8,,185.98,0.0,14.16,59.56,91.57,11.68,-5.61,36.12,97.7,2.04,28.39,1.07,-13.69,4.0,,2.27,6.72,285.05,True
72,Rico Auto Inds,520008.0,RICOAUTO,Auto Ancillaries,42.45,,574.35,0.71,4.38,-60.0,445.91,30.24,5.59,36.12,384.61,0.97,119.21,0.65,3.32,4.0,,2.27,13.53,1480.44,True
75,Sandhar Tech,541163.0,SANDHAR,Auto Ancillaries,231.55,46.78,1393.72,0.86,29.24,113.74,593.08,23.49,9.57,36.12,302.29,1.87,239.01,0.41,7.54,5.0,,2.27,60.19,1466.46,True
77,Setco Automotive,505075.0,SETCO,Auto Ancillaries,17.35,,232.09,0.0,-10.8,35.68,111.08,9.77,1.56,36.12,387.61,3.64,92.32,6.08,-28.75,2.0,,2.27,26.75,661.04,True
78,Shanthi Gears,522034.0,SHANTIGEAR,Auto Ancillaries,136.65,87.07,1048.32,1.46,7.7,26.44,64.83,11.74,12.27,36.12,0.0,4.52,55.82,0.0,9.4,5.0,,2.27,7.67,286.52,True
79,Sharda Motor,535602.0,SHARDAMOTR,Auto Ancillaries,2186.95,23.87,1300.43,0.0,33.53,122.64,584.42,171.62,17.25,36.12,10.55,3.4,-30.06,0.03,12.8,3.0,,2.27,5.95,819.42,True
80,Shivam Autotech,532776.0,SHIVAMAUTO,Auto Ancillaries,20.4,,204.0,0.0,11.92,230.42,154.89,8.22,-0.21,36.12,381.97,1.93,104.11,3.62,-24.16,3.0,,2.27,20.0,702.63,True
81,Shriram Pistons,,SHRIPISTON,Auto Ancillaries,775.0,35.68,1734.06,0.77,50.11,301.84,474.66,22.88,8.24,36.12,75.59,1.64,296.77,0.07,6.78,4.0,,2.27,22.37,1536.29,True
83,Sintercom India,,SINTERCOM,Auto Ancillaries,88.4,,213.95,0.0,-0.5,68.94,15.42,8.9,0.74,36.12,28.19,2.61,12.55,0.34,-3.25,3.0,,2.27,24.2,147.1,True
87,Steel Str. Wheel,513262.0,SSWL,Auto Ancillaries,656.3,,1024.45,0.0,28.76,357.23,524.54,52.66,7.24,36.12,846.95,1.52,103.89,1.26,3.43,5.0,,2.27,15.61,2123.65,True
88,Subros,517168.0,SUBROS,Auto Ancillaries,343.6,59.31,2241.5,0.23,27.43,105.47,603.85,29.69,13.0,36.12,125.48,3.02,238.78,0.17,7.82,5.0,,2.27,13.05,1319.7,True
89,Sundaram Brake,590072.0,SUNDRMBRAK,Auto Ancillaries,356.15,26.16,139.97,0.0,5.27,997.92,68.85,5.68,4.88,36.12,20.42,1.69,17.13,0.25,3.03,5.0,,2.27,3.93,173.4,True
90,Sundaram Clayton,520056.0,SUNCLAYLTD,Auto Ancillaries,3564.2,41.42,7211.12,0.87,202.37,69.7,6374.49,27.75,13.47,36.12,9737.22,2.9,458.17,3.92,14.54,5.0,,2.27,10.12,21876.67,True
91,Suprajit Engg.,532509.0,SUPRAJIT,Auto Ancillaries,284.95,41.85,3985.67,0.61,51.63,65.53,507.27,23.04,15.38,36.12,259.98,4.49,232.03,0.29,14.96,5.0,,2.27,13.99,1583.06,True
92,Talbros Auto.,505160.0,TALBROAUTO,Auto Ancillaries,207.95,18.66,256.82,0.24,10.55,144.21,129.52,35.72,8.86,36.12,123.37,1.27,37.01,0.61,6.87,5.0,,2.27,12.35,477.05,True
94,The Hi-Tech Gear,522073.0,HITECHGEAR,Auto Ancillaries,175.75,,329.88,0.85,4.13,-27.54,223.8,37.61,7.77,36.12,367.91,1.19,183.57,1.33,3.01,5.0,,2.27,18.77,859.21,True
95,Timken India,522113.0,TIMKEN,Bearings,1291.05,64.09,9711.11,3.87,37.18,-56.03,383.57,2.75,20.85,33.19,19.28,7.75,356.9,0.02,16.87,9.0,,1.65,75.21,1656.33,True
97,Ucal Fuel Sys.,500464.0,UCALFUEL,Auto Ancillaries,156.25,15.88,345.47,0.0,36.59,30391.67,225.69,28.64,11.02,36.12,200.41,1.1,127.64,0.64,6.39,5.0,,2.27,22.11,786.65,True
100,Varroc Engineer,541578.0,VARROC,Auto Ancillaries,409.3,,5517.84,0.73,-138.73,-202.98,3492.66,24.57,2.85,36.12,2714.16,2.1,1413.69,1.03,0.0,5.0,,2.27,13.48,10411.75,True
101,WABCO India,533023.0,WABCOINDIA,Auto Ancillaries,6012.65,130.02,11399.98,0.17,52.43,35.48,566.5,28.47,10.51,36.12,0.0,6.02,224.3,0.0,7.46,6.0,,2.27,9.48,2227.92,True
102,Wheels India,590073.0,WHEELS,Auto Ancillaries,462.8,,1113.71,1.22,12.0,30.43,640.04,9.74,9.63,36.12,486.46,1.98,158.91,0.87,9.28,5.0,,2.27,24.06,1798.47,True
0,Ashok Leyland,500477.0,ASHOKLEY,Automobiles - LCVs / HCVs,132.55,,38910.41,0.38,14.24,-12.85,5954.17,14.75,8.85,,16736.93,5.34,383.18,2.3,4.25,4.0,,1.86,293.55,37595.25,True
1,Atul Auto,531795.0,ATULAUTO,Automobiles - Scooters And 3 - Wheelers,206.65,,453.46,0.73,1.06,-94.61,101.71,-47.25,24.01,24.49,15.76,1.53,57.36,0.05,18.51,5.0,,4.57,10.97,381.67,True
2,Bajaj Auto,532977.0,BAJAJ-AUTO,Automobiles - Scooters And 3 - Wheelers,3944.05,24.49,114127.8,3.04,1716.26,29.78,8909.88,16.63,29.61,24.49,126.18,4.81,3850.44,0.01,23.18,6.0,,4.57,289.37,29398.91,True
3,Eicher Motors,505200.0,EICHERMOT,Automobiles - Motorcycles / Mopeds,2602.3,63.23,71132.56,0.48,532.59,6.8,2828.26,19.29,24.58,56.4,254.53,6.89,1694.13,0.02,19.36,4.0,,6.85,27.32,12935.5,True
4,Escorts,500495.0,ESCORTS,Automobiles - Tractors,1311.45,24.09,17682.88,0.19,286.71,85.13,2042.23,23.76,19.14,23.0,60.2,3.97,797.16,0.01,14.78,5.0,,3.29,134.83,6361.9,True
5,Force Motors,500033.0,FORCEMOT,Automobiles - LCVs / HCVs,1311.55,,1728.62,0.76,-18.98,-164.83,491.18,-43.48,4.83,,420.8,0.91,409.19,0.22,4.13,6.0,,1.86,13.18,3139.96,True
6,Hero Motocorp,500182.0,HEROMOTOCO,Automobiles - Motorcycles / Mopeds,3476.4,26.29,69451.59,2.59,1019.18,13.01,9827.05,38.91,27.23,56.4,540.03,4.66,5518.13,0.04,22.0,4.0,,6.85,39.95,22960.4,True
7,Hindustan Motors,500500.0,HINDMOTORS,Automobiles - Passenger Cars,7.55,88.01,157.54,0.0,0.6,152.63,0.62,,,63.3,0.0,,-1.44,,,1.0,,3.56,104.33,29.3,True
8,M & M,500520.0,M&M,Automobiles - Passenger Cars,860.05,53.16,106920.77,0.27,704.39,455.56,21625.95,11.3,8.23,63.3,70369.36,2.67,-1450.93,1.76,0.71,3.0,,3.56,554.91,179405.08,True
9,Maruti Suzuki,532500.0,MARUTI,Automobiles - Passenger Cars,7214.1,48.74,217923.53,0.83,1996.7,25.82,23471.3,13.27,8.65,63.3,224.0,4.45,3495.8,0.0,6.76,6.0,,3.56,151.0,64096.1,True
11,SML ISUZU,505192.0,SMLISUZU,Automobiles - LCVs / HCVs,493.45,,714.02,0.0,-26.39,-47.51,183.85,4.15,-3.88,,289.63,2.41,150.01,0.98,-5.32,4.0,,1.86,14.48,816.82,True
12,Tata Motors,500570.0,TATAMOTORS,Automobiles - LCVs / HCVs,345.75,,121913.6,0.0,2906.45,85.71,75653.79,5.55,-0.37,,115373.95,2.27,26632.94,2.28,-16.1,3.0,,1.86,719.54,308154.14,True
13,Tata Motors-DVR,570001.0,TATAMTRDVR,Automobiles - LCVs / HCVs,139.9,,7113.96,0.0,1251.4,372.94,7769.67,-26.91,,,,,,,,0.0,,1.86,643.78,,True
14,TVS Motor Co.,532343.0,TVSMOTOR,Automobiles - Motorcycles / Mopeds,632.4,79.68,30045.32,0.55,283.65,40.36,6094.91,27.88,12.97,56.4,9276.15,9.0,373.43,2.78,20.12,5.0,,6.85,47.51,20611.53,True
15,VST Till. Tract.,531266.0,VSTTILLERS,Automobiles - Tractors,1889.05,21.92,1632.05,0.79,30.83,788.47,202.87,64.51,6.29,23.0,0.0,2.61,72.34,0.0,4.18,5.0,,3.29,8.64,844.16,True
0,AU Small Finance,540611.0,AUBANK,Banks - Private Sector,1151.5,31.46,35361.41,0.0,479.02,151.85,1261.11,13.45,9.17,23.81,36499.25,8.18,659.57,8.44,18.59,6.0,,1.79,306.76,42143.07,True
1,Axis Bank,532215.0,AXISBANK,Banks - Private Sector,731.25,74.87,223986.41,0.0,1317.91,-29.74,15756.99,-1.3,5.2,23.81,797337.38,2.59,30415.64,9.23,2.41,6.0,,1.79,612.29,927871.81,True
2,Bandhan Bank,541153.0,BANDHANBNK,Banks - Private Sector,345.2,21.22,55597.34,0.0,632.59,-13.47,3307.84,21.72,12.0,23.81,73460.68,3.66,6482.14,4.83,22.91,6.0,,1.79,1610.38,91717.8,True
3,Bank of Baroda,532134.0,BANKBARODA,Banks - Public Sector,83.3,14.01,38489.32,0.0,1195.96,198.11,18914.71,-5.38,5.06,21.44,1068980.85,0.51,18530.56,14.05,1.47,5.0,,0.5,925.37,1199935.37,True
4,Bank of India,532149.0,BANKINDIA,Banks - Public Sector,80.4,,26346.46,0.0,610.37,341.66,10299.45,-5.49,3.59,21.44,597138.9,0.58,-4827.08,13.25,-7.03,3.0,,0.5,3277.66,663017.15,True
5,Bank of Maha,532525.0,MAHABANK,Banks - Public Sector,23.05,33.14,15121.17,0.0,155.74,18.07,3006.86,-0.31,4.74,21.44,153720.05,1.39,693.36,14.09,4.69,8.0,,0.5,6560.16,169017.53,True
6,Canara Bank,532483.0,CANBK,Banks - Public Sector,158.75,,26141.97,0.0,749.73,88.54,17451.65,39.68,4.95,21.44,668170.09,0.63,-5288.43,16.22,-5.03,3.0,,0.5,1646.74,741440.27,True
7,Central Bank,532885.0,CENTRALBK,Banks - Public Sector,18.05,,10605.39,0.0,165.99,1.04,5808.88,-4.11,4.47,21.44,320277.17,0.49,1687.89,14.87,-6.06,6.0,,0.5,5875.56,357337.45,True
8,City Union Bank,532210.0,CUB,Banks - Private Sector,175.6,33.56,12966.32,0.28,169.93,-11.69,1048.03,-1.21,6.7,23.81,42864.89,2.45,1836.23,8.09,9.4,5.0,,1.79,73.84,49733.53,True
9,CSB Bank,542867.0,CSBBANK,Banks - Private Sector,227.0,33.99,3937.45,0.0,53.05,88.52,482.62,24.17,6.11,23.81,16584.68,2.01,-506.85,8.46,0.97,6.0,,1.79,173.51,18864.23,True
10,DCB Bank,532772.0,DCBBANK,Banks - Private Sector,114.45,10.88,3553.92,0.0,96.21,-0.51,869.35,-3.17,7.74,23.81,33777.88,1.04,170.7,9.87,10.36,4.0,,1.79,310.49,38505.14,True
