,Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Industry PE,Debt,Price to book value,Cash from operations last year,Debt to equity,Return on equity,Piotroski score,Credit rating,Industry PBV,Equity capital,Total Assets,is in nse
217,JM Financial,523405.0,JMFINANCIL,Finance & Investments,92.65,16.22,8823.9,0.22,180.76,14.74,884.81,-1.78,13.58,16.19,10879.14,1.33,3164.13,1.64,10.12,4.0,,0.73,95.24,21636.56,True
220,JSW Holdings,532642.0,JSWHL,Finance & Investments,3720.7,63.41,4129.98,0.0,10.2,8.05,14.97,26.54,1.51,16.19,0.0,0.52,103.49,0.0,1.37,7.0,,0.73,11.07,8636.14,True
223,Kalyani Invest.,533302.0,KICL,Finance & Investments,1598.95,34.95,698.74,0.0,1.14,-87.91,1.14,-88.92,1.55,16.19,0.0,0.21,7.54,0.0,1.54,7.0,,0.73,4.37,3317.76,True
232,Keynote Finan.,512597.0,KEYFINSERV,Finance & Investments,60.85,8.97,42.72,1.64,1.08,-10.0,3.57,-20.67,-3.25,16.19,17.94,0.54,16.49,0.23,-5.57,4.0,,0.73,5.57,113.19,True
233,Khandwala Sec.,531892.0,KHANDSE,Finance & Investments,14.15,,16.9,0.0,-0.83,-295.24,0.71,-27.55,-9.03,16.19,6.24,0.7,-3.55,0.26,-14.05,3.0,,0.73,11.94,37.62,True
238,Kirloskar Indus.,500243.0,KIRLOSIND,Finance & Investments,1235.45,8.88,1199.62,0.81,60.59,299.67,591.63,29.39,15.33,16.19,268.34,0.95,169.73,0.21,8.02,6.0,,0.73,9.71,2446.93,True
246,L&T Fin.Holdings,533519.0,L&TFH,Finance & Investments,107.0,23.7,26423.07,0.84,290.66,-50.82,3503.43,-3.5,9.58,16.19,92966.23,1.74,2161.76,6.13,12.08,6.0,,0.73,2000.51,109431.19,True
247,Lak. Fin. & Indl,,LFIC,Finance & Investments,81.05,6.63,24.32,2.47,5.0,426.32,5.35,342.15,-24.47,16.19,0.0,0.65,0.67,0.0,-17.56,5.0,,0.73,3.0,39.91,True
252,LIC Housing Fin.,500253.0,LICHSGFIN,Finance - Housing,441.45,8.08,22278.35,1.81,721.04,19.75,4911.03,-1.88,9.11,19.74,190417.07,1.12,-14737.67,9.58,13.89,3.0,,1.41,100.93,218899.62,True
257,M & M Fin. Serv.,532720.0,M&MFIN,Finance & Investments,207.5,43.03,25637.25,0.0,-226.2,-147.96,2957.96,-2.89,9.45,16.19,68076.97,1.62,-3115.23,4.3,9.25,3.0,,0.73,246.29,87874.17,True
260,Magma Fincorp,524000.0,MAGMA,Finance & Investments,123.6,62.59,3332.46,0.0,12.99,-41.98,589.33,-3.24,8.97,16.19,11662.88,1.18,998.24,4.12,0.98,4.0,,0.73,53.92,15042.91,True
261,Mah. Scooters,500266.0,MAHSCOOTER,Finance & Investments,3686.9,37.25,4214.13,1.36,2.64,19.46,4.28,-9.51,1.96,16.19,0.0,0.38,-7.01,0.0,1.84,7.0,,0.73,11.43,11471.73,True
262,Maha Rashtra Apx,523384.0,MAHAPEXLTD,Finance & Investments,76.05,3.66,107.61,0.0,3.32,113.84,0.8,-56.99,11.78,16.19,0.0,0.74,16.9,0.0,12.05,7.0,,0.73,14.09,257.28,True
264,Manappuram Fin.,531213.0,MANAPPURAM,Finance & Investments,173.25,8.88,14660.06,1.27,482.24,17.49,1643.81,14.46,16.05,16.19,25235.27,2.27,-3625.29,3.91,28.6,4.0,,0.73,169.24,32261.27,True
272,MAS FINANC SER,540749.0,MASFIN,Finance & Investments,918.0,34.92,5017.98,0.87,36.0,-25.85,150.02,-17.93,15.38,16.19,3007.2,4.59,196.33,2.75,18.6,6.0,,0.73,54.66,5061.47,True
273,MASK INVESTMENTS,,MASKINVEST,Finance & Investments,34.5,,10.53,0.0,0.02,100.0,0.03,-25.0,0.15,16.19,0.73,1.14,0.03,0.08,0.17,6.0,,0.73,3.05,10.02,True
275,Max Financial,500271.0,MFSL,Finance & Investments,892.95,94.25,30814.84,0.0,175.81,67.09,8989.7,67.54,21.04,16.19,2.31,13.32,9467.54,0.0,6.9,6.0,,0.73,59.01,83814.6,True
276,Max Ventures,539940.0,MAXVIL,Finance & Investments,62.65,,918.6,0.0,2.04,-29.9,296.09,10.07,9.78,16.19,484.98,1.06,232.98,0.56,4.37,6.0,,0.73,146.62,1831.84,True
277,McDowell Hold.,532852.0,MCDHOLDING,Finance & Investments,41.15,,57.57,0.0,0.41,103.37,1.27,11.4,-0.11,16.19,14.28,0.1,-4.11,0.02,-0.94,3.0,,0.73,13.99,609.5,True
295,Motil.Oswal.Fin.,532892.0,MOTILALOFS,Finance & Investments,610.2,14.55,8945.26,0.82,333.87,101.81,947.62,48.01,9.78,16.19,4635.3,2.56,950.2,1.33,5.96,4.0,,0.73,14.65,11213.16,True
296,Motor & Gen Fin,501343.0,MOTOGENFIN,Finance & Investments,19.1,,73.97,0.0,-0.94,21.01,0.6,-61.78,-3.12,16.19,4.39,0.93,0.02,0.06,-4.28,5.0,,0.73,19.36,154.33,True
301,Muthoot Cap.Serv,511766.0,MUTHOOTCAP,Finance & Investments,407.6,11.91,670.4,0.0,13.73,-27.55,120.3,-20.17,14.61,16.19,1898.76,1.25,21.02,3.54,12.67,4.0,,0.73,16.45,2495.46,True
302,Muthoot Finance,533398.0,MUTHOOTFIN,Finance & Investments,1310.9,14.55,52591.88,1.14,1004.84,17.82,3000.78,15.93,16.03,16.19,50614.57,3.63,-4975.18,3.49,28.85,5.0,,0.73,401.17,67555.47,True
303,Naga Dhunseri,,NDGL,Finance & Investments,800.0,4.82,80.0,0.16,16.57,784.71,2.05,-44.44,-1.57,16.19,0.0,0.19,5.91,0.0,-1.41,4.0,,0.73,1.0,429.21,True
304,Nagreeka Cap.,532895.0,NAGREEKCAP,Finance & Investments,6.05,,7.64,0.0,8.54,179.0,0.86,-83.62,-35.26,16.19,88.89,0.35,82.68,4.03,-188.2,3.0,,0.73,6.31,116.66,True
305,Nahar Capital,532952.0,NAHARCAP,Finance & Investments,92.25,9.0,154.43,0.54,23.81,81.2,4.56,26.32,0.45,16.19,1.13,0.17,137.53,0.0,0.41,6.0,,0.73,8.37,1014.32,True
307,Nalwa Sons Invst,532256.0,NSIL,Finance & Investments,1106.05,15.74,568.51,0.0,3.45,-10.01,7.63,-44.31,0.51,16.19,1.49,0.17,19.55,0.0,1.08,7.0,,0.73,5.14,3628.38,True
312,NBI Indl. Fin.,,NBIFIN,Finance & Investments,1786.35,41.29,438.87,0.0,0.13,0.0,0.55,120.0,0.78,16.19,0.0,0.24,-1.31,0.0,0.78,6.0,,0.73,1.23,1861.14,True
319,Nippon Life Ind.,540767.0,NAM-INDIA,Finance & Investments,345.65,41.1,21262.06,1.45,211.95,41.94,268.46,-11.44,21.9,16.19,0.0,7.58,604.95,0.0,16.09,5.0,,0.73,612.95,3062.18,True
326,Onelife Capital,533632.0,ONELIFECAP,Finance & Investments,6.9,102.44,9.22,0.0,0.04,113.33,1.03,-37.2,-1.48,16.19,1.0,0.11,-5.41,0.01,-1.68,4.0,,0.73,13.36,94.64,True
